incident_id,quick_ok,verdict,date_wrong,location_wrong,animal_type_wrong,harm_method_wrong,official_response_wrong,independence_verdict,contradiction_notes,notes
AHID-CN-2026-0001,FALSE,一致,FALSE,FALSE,FALSE,FALSE,FALSE,,,
AHID-CN-2026-0002,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,,,
AHID-CN-2026-0003,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,,,
AHID-CN-2026-0004,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,,,
AHID-CN-2026-0005,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,,,
AHID-CN-2026-0006,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,,,
AHID-CN-2026-0007,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,,,
AHID-CN-2026-0008,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,,,
AHID-CN-2026-0009,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,,,
AHID-CN-2026-0010,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,,,
AHID-CN-2026-0011,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,,,
AHID-CN-2026-0012,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,,,
AHID-CN-2026-0013,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,,,
AHID-CN-2026-0014,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,,,
AHID-CN-2026-0015,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,,,
AHID-CN-2026-0016,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,,,
AHID-CN-2026-0017,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,,,
AHID-CN-2026-0018,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,,,
AHID-CN-2026-0019,TRUE,轻微问题,FALSE,FALSE,FALSE,FALSE,FALSE,,,"都市时报 · Tier 2 · independence= · availability=unknown
https://www.dutenews.com/n/article/181543
（未归档到有效正文，availability=unknown） --- is unaccessible "
AHID-CN-2026-0020,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,,,
AHID-CN-2026-0021,TRUE,轻微问题,FALSE,FALSE,FALSE,FALSE,FALSE,,,"凤凰网 · Tier 2 · independence=unknown · availability=unknown
https://i.ifeng.com/c/8ukv2BygIRU
（未归档到有效正文，availability=unknown） -> unavailable, delete the source that parsed as unknown if possible. "
AHID-CN-2026-0022,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,,,
AHID-CN-2026-0023,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,,,
AHID-CN-2026-0024,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,,,
AHID-CN-2026-0025,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,,,
AHID-CN-2026-0026,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,,,
AHID-CN-2026-0027,TRUE,轻微问题,FALSE,FALSE,FALSE,FALSE,FALSE,,,"羊城晚报 · Tier 2 · independence=unknown · availability=unknown
https://news.ycwb.com/ikimvkitil/content_53982739.htm
（未归档到有效正文，availability=unknown） -> this website is actually accessible "
AHID-CN-2026-0028,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,,,
AHID-CN-2026-0029,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,,,
AHID-CN-2026-0030,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,,,
AHID-CN-2026-0031,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,,,