incident_id,first_detected_at,last_updated_at,event_date_start,event_date_end,date_precision,date_status,province,city,location_precision,location_status,animal_category,species,estimated_animal_count,juvenile_animal,injury_status,mortality_status,rescue_status,harm_categories,minor_involvement,institutional_involvement,commercial_involvement,group_involvement,content_creation_involvement,official_response_found,police_response_found,school_response_found,ngo_response_found,rescue_response_found,legal_outcome_found,policy_response_found,automation_status,evidence_sufficiency_score,score_version,ruleset_version,model_version,independent_source_cluster_count,official_source_count,contradiction_count,disputed_flag,misattribution_flag
AHID-CN-2026-0001,,,2026-06-28,,day,officially_reported,广东省,揭阳市,district,district_supported,dog,,4,yes,,dead,,beating|burning|suffocation,yes,no,no,yes,yes,1,1,0,,,0,,A4,82,v0-pilot-uncalibrated,prd-v1.2-C4,,2,0,,,0
AHID-CN-2026-0002,,,2026-05,,month,officially_reported,江西省,赣州市,city,city_supported,cat,,,unknown,,unknown,,content_motivated_abuse,no,unknown,no,no,yes,1,,1,,,,,A4,73,v0-pilot-uncalibrated,prd-v1.2-C4,,2,0,,,0
AHID-CN-2026-0003,,,2024-07,,month,officially_reported,湖北省,武汉市,city,city_supported,cat,,,unknown,,unknown,,beating|suffocation|other_harm,no,unknown,no,no,unknown,1,,1,,,,,A4,68,v0-pilot-uncalibrated,prd-v1.2-C4,,1,0,,,0
AHID-CN-2026-0004,,,,,unknown,claimed_only,广东省,湛江市,city,city_supported,cat,,,unknown,,unknown,,other_harm|scalding,no,unknown,no,unknown,unknown,1,,1,,,,,AX,64,v0-pilot-uncalibrated,prd-v1.2-C4,,1,1,,1,0
AHID-CN-2026-0005,,,2024-10,,month,officially_reported,湖北省,武汉市,city,city_supported,cat,,10+,unknown,,dead,,poisoning,no,unknown,no,no,no,1,1,1,,,,,A4,83,v0-pilot-uncalibrated,prd-v1.2-C4,,2,1,,,0
AHID-CN-2026-0006,,,2020,,year,officially_reported,山东省,淄博市,city,city_supported,cat,,80,unknown,,dead,,beating|burning|scalding|dismemberment|content_motivated_abuse,no,unknown,yes,no,yes,1,,1,,,,,A4,78,v0-pilot-uncalibrated,prd-v1.2-C4,,2,0,,,0
AHID-CN-2026-0007,,,2023-08-27,,day,officially_reported,河南省,南阳市,city,city_supported,cat,,,unknown,,unknown,,content_motivated_abuse,no,unknown,no,no,yes,1,,1,,,,,A4,73,v0-pilot-uncalibrated,prd-v1.2-C4,,2,0,,,0
AHID-CN-2026-0008,,,2024-04,,month,officially_reported,江苏省,南京市,city,city_supported,cat,,,unknown,,unknown,,suffocation|other_harm,no,yes,no,no,yes,1,1,1,,,,,A4,78,v0-pilot-uncalibrated,prd-v1.2-C4,,2,1,,,0
AHID-CN-2026-0009,,,2023,,year,officially_reported,安徽省,阜阳市,district,district_supported,cat,,,unknown,,unknown,,content_motivated_abuse,no,no,no,no,yes,1,1,,,,,1,A4,77,v0-pilot-uncalibrated,prd-v1.2-C4,,2,0,,,0
AHID-CN-2026-0010,,,2024-11-04,,day,officially_reported,江苏省,宿迁市,district,district_supported,multiple,梅花鹿、黑熊,,unknown,,unknown,,medical_neglect|other_harm,no,yes,yes,unknown,no,0,,,,,,,A1,57,v0-pilot-uncalibrated,prd-v1.2-C4,,1,0,,,0
AHID-CN-2026-0011,,,,,unknown,claimed_only,福建省,福州市,city,city_supported,captive_wildlife,熊,,unknown,,unknown,,beating,no,yes,yes,unknown,no,1,,,,,,,A4,59,v0-pilot-uncalibrated,prd-v1.2-C4,,1,0,,,0
AHID-CN-2026-0012,,,2026-04,,month,claimed_only,,,unknown,unknown,dog,,1,unknown,,dead,,medical_neglect,no,no,yes,no,no,0,,,,,1,,A1,39,v0-pilot-uncalibrated,prd-v1.2-C4,,1,0,,,0
AHID-CN-2026-0013,,,2015,,year,claimed_only,福建省,晋江市,city,city_supported,dog,,,unknown,,unknown,,forced_fighting,no,no,yes,yes,no,0,,,,,,,A1,44,v0-pilot-uncalibrated,prd-v1.2-C4,,1,0,,,0
AHID-CN-2026-0015,,,2026-05-28,,day,officially_reported,湖南省,永州市,district,district_supported,dog,,1,unknown,,dead,,inhumane_killing|inhumane_capture,no,yes,no,no,no,1,1,,,,,,A4,87,v0-pilot-uncalibrated,prd-v1.2-C4,,2,1,,,0
AHID-CN-2026-0016,,,2026-06-13,,day,metadata_supported,江苏省,连云港市,city,city_supported,multiple,,23,unknown,,dead,,inhumane_transport,no,no,yes,no,no,0,1,,,,,,A2,61,v0-pilot-uncalibrated,prd-v1.2-C4,,2,0,,,0
AHID-CN-2026-0017,,,2026-02-25,,day,officially_reported,江苏省,苏州市,city,city_supported,cat,,,unknown,,unknown,,content_motivated_abuse|scalding,no,no,no,no,yes,1,1,,1,,,,A4,68,v0-pilot-uncalibrated,prd-v1.2-C4,,1,0,,,0
AHID-CN-2026-0018,,,,,unknown,claimed_only,江苏省,如皋市,district,district_supported,multiple,,,unknown,,unknown,,medical_neglect,no,no,yes,unknown,no,0,,,,,,,A1,48,v0-pilot-uncalibrated,prd-v1.2-C4,,1,0,,,0
AHID-CN-2026-0019,,,2019-04-07,,day,officially_reported,广东省,深圳市,district,district_supported,other,,9,unknown,,unknown,,forced_fighting,no,no,yes,yes,no,1,1,,,,1,,A4,72,v0-pilot-uncalibrated,prd-v1.2-C4,,1,0,,,0
AHID-CN-2026-0020,,,2026-03,,month,officially_reported,重庆市,重庆市,district,district_supported,multiple,,"3+ survivors, multiple additional deaths/missing",unknown,,dead,,beating|dismemberment|other_harm,no,no,no,yes,unknown,1,1,,,1,0,,A4,82,v0-pilot-uncalibrated,prd-v1.2-C4,,3,0,,,0
AHID-CN-2026-0021,,,2026-07-13,,day,officially_reported,江苏省,徐州市,city,city_supported,cat,,1,unknown,,dead,,beating,yes,no,no,yes,no,1,1,0,,,,,A4,69,v0-pilot-uncalibrated,prd-v1.2-C4,,2,0,,,0
AHID-CN-2026-0022,,,2026-02-01,,day,officially_reported,江苏省,连云港市,district,district_supported,dog,,1,no,,dead,,burning,yes,no,no,yes,no,1,1,,,,,,A4,82,v0-pilot-uncalibrated,prd-v1.2-C4,,2,0,,,0
AHID-CN-2026-0023,,,2024-12-07,,day,officially_reported,四川省,成都市,district,district_supported,cat,,1,unknown,,unknown,,burning|beating,yes,unknown,no,yes,yes,1,1,1,,,,,A4,77,v0-pilot-uncalibrated,prd-v1.2-C4,,2,0,,,0
AHID-CN-2026-0024,,,2025-05-21,,day,officially_reported,河南省,郑州市,city,city_supported,captive_wildlife,,1,unknown,,alive,,beating,no,yes,yes,no,no,1,,,,,,,A4,78,v0-pilot-uncalibrated,prd-v1.2-C4,,1,0,,,0
AHID-CN-2026-0025,,,2026-01-23,,day,officially_reported,云南省,西双版纳傣族自治州,city,city_supported,captive_wildlife,,1,yes,,alive,,beating,no,yes,yes,no,no,1,,,,,,,A4,78,v0-pilot-uncalibrated,prd-v1.2-C4,,2,0,,,0
AHID-CN-2026-0026,,,2023-03,,month,contradicted,四川省,都江堰市,city,city_supported,wildlife,,,unknown,,alive,,,no,yes,yes,yes,yes,1,,,,,1,1,AF,68,v0-pilot-uncalibrated,prd-v1.2-C4,,2,1,,,1
AHID-CN-2026-0027,,,2026-02-25,,day,metadata_supported,四川省,,province,province_supported,multiple,,62,unknown,,dead,,abandonment,no,no,unknown,unknown,no,0,,,,,,,A2,57,v0-pilot-uncalibrated,prd-v1.2-C4,,2,0,,,0
AHID-CN-2026-0028,,,2022-09-14,,day,officially_reported,北京市,北京市,district,district_supported,multiple,,11,unknown,,dead,,poisoning,no,no,no,no,no,1,1,,,,1,,A4,82,v0-pilot-uncalibrated,prd-v1.2-C4,,2,0,,,0
AHID-CN-2026-0029,,,2024-05-20,,day,officially_reported,山西省,晋中市,city,city_supported,cat,,1,unknown,,dead,,beating|suffocation,no,unknown,no,no,no,1,,1,,,,,A4,73,v0-pilot-uncalibrated,prd-v1.2-C4,,1,0,,,0
AHID-CN-2026-0030,,,2023-08-28,,day,officially_reported,广西壮族自治区,南宁市,city,city_supported,cat,,16,unknown,,dead,,beating|dismemberment|content_motivated_abuse,no,no,yes,yes,yes,1,,,,,,,A4,73,v0-pilot-uncalibrated,prd-v1.2-C4,,1,0,,,0
AHID-CN-2026-0031,,,2020,,year,officially_reported,浙江省,杭州市,city,city_supported,multiple,,约300,unknown,,dead,,beating|dismemberment|content_motivated_abuse,no,unknown,unknown,unknown,yes,1,,,,,,,A4,78,v0-pilot-uncalibrated,prd-v1.2-C4,,2,0,,,0
