response_id,incident_id,responder_type,responder_name_public,response_type,response_date,source_id,summary_zh,summary_en
RSP-00001,AHID-CN-2026-0001,police,,investigation,,SRC-00001,揭阳市公安局揭东分局立案调查；新亨镇人民政府成立专项工作组，将4人送专门学校矫治教育,
RSP-00002,AHID-CN-2026-0002,school,,penalty,,SRC-00003,赣南师范大学科技学院给予开除学籍处分,
RSP-00003,AHID-CN-2026-0004,school,,penalty,,SRC-00006,广东海洋大学给予留校察看处分，暂停学业（2025-06-24决定）,
RSP-00004,AHID-CN-2026-0005,police,,penalty,,SRC-00008,学校联合属地派出所调查，给予苏某某严重警告处分,
RSP-00005,AHID-CN-2026-0006,school,,statement,,SRC-00010,学校官方声明证实身份，给予严肃批评教育，责令向网友道歉；未见开除或退学处分,
RSP-00006,AHID-CN-2026-0007,school,,penalty,,SRC-00012,南阳理工学院给予开除学籍处分,
RSP-00007,AHID-CN-2026-0008,school,,statement,,SRC-00014,南京大学物理学院复试认定徐某某思想品德考核不合格，专业笔面第一但未予录取（2024-04）,
RSP-00008,AHID-CN-2026-0008,school,,statement,,SRC-00014,调剂至兰州大学核科学与技术学院复试，最终未进入拟录取名单（2024-04-08）,
RSP-00009,AHID-CN-2026-0008,police,,statement,,SRC-00014,南京市公安局对徐某某及家人进行约谈，徐某某写悔过书,
RSP-00010,AHID-CN-2026-0009,police,,penalty,,SRC-00016,安徽省阜南县公安局依据治安管理处罚法对徐志辉予以治安拘留,
RSP-00011,AHID-CN-2026-0009,other,,policy,,SRC-00016,"阜南县文明办取消徐志辉此前获得的""阜南好人""荣誉称号（2026-05-05）",
RSP-00012,AHID-CN-2026-0011,company,,penalty,,SRC-00019,动物园管理处回应称驯兽师情绪急躁，已将其停职,
RSP-00013,AHID-CN-2026-0013,other,,statement,,SRC-00021,记者向工商部门了解到，我国法律法规对斗狗是否违法并未明确规定；泉州当地未处理过非法开设斗狗场或斗狗赌博案件,
RSP-00015,AHID-CN-2026-0015,other,,statement,,SRC-00023,江永县城市管理和综合执法局发布通报公开致歉，涉事工作人员停职接受进一步调查处理,
RSP-00016,AHID-CN-2026-0017,police,,investigation,,SRC-00027,苏州市吴中区警方发布官方通报，同时对李某（涉嫌虐杀领养猫只并传播视频）与介入的志愿者（涉嫌拘禁殴打李某）两方展开调查,
RSP-00017,AHID-CN-2026-0017,police,,policy,,SRC-00027,"总部位于北京的动物福利组织""伴侣动物工作组""（Companion Animals Working Group）获悉线索后主动向警方举报，并公开呼吁腾讯公司整治QQ群内虐待动物内容传播",
RSP-00018,AHID-CN-2026-0018,government,,statement,,SRC-00028,市场监管、畜牧兽医站等多部门互相推诿，均表示不在自身监管范围；报道未见任何实际处罚或取缔记录,
RSP-00019,AHID-CN-2026-0019,other,,penalty,,SRC-00029,现场抓获涉赌人员21人；组织者杨某某、胡某某涉嫌开设赌场罪被刑事拘留，参赌者分别处以治安拘留或行政处罚,
RSP-00020,AHID-CN-2026-0019,other,,penalty,,SRC-00029,2名组织者被刑事拘留（开设赌场罪）,
RSP-00021,AHID-CN-2026-0020,police,,penalty,,SRC-00031,"2026-03邻居首次报案时警方因证据不足未采取有效措施；2026-06-05报案时办案警员表示""打杀狗不犯法""、将事件定性为民事纠纷，处理消极；经持续曝光及民众聚集后，2026-06-09两江新区公安分局正式立案调查，06-10对李某处以行政拘留",
RSP-00022,AHID-CN-2026-0020,police,,rescue,,SRC-00031,3只幸存犬只（含被救出的2只黑色幼犬）经动物志愿者及警方协助送往爱心宠物医院及动物收容所救治寄养；另有多只动物下落不明，去向未知,
RSP-00023,AHID-CN-2026-0021,police,,statement,,SRC-00035,辖区九里派出所于当晚介入，对涉事男孩及家长进行批评教育；其中一名男孩家长自称已对孩子进行教育与体罚；未见任何一方被送专门学校或其他更严厉处置,
RSP-00024,AHID-CN-2026-0023,police,,investigation,,SRC-00038,大邑县教育局联合辖区派出所核查；对涉事学生批评教育，给予停课反省处理，安排专业人员心理辅导及行为干预,
RSP-00025,AHID-CN-2026-0024,other,,penalty,,SRC-00040,园方与涉事驯养员解除劳动合同，暂停营业进行闭馆整顿,
RSP-00026,AHID-CN-2026-0025,other,,statement,,SRC-00042,"园方发布情况说明，承认饲养员""操作不规范""，对其严肃批评教育；兽医检查后称小象身体状况良好",
RSP-00027,AHID-CN-2026-0026,court,,penalty,,SRC-00044,都江堰市人民法院一审公开审理，以寻衅滋事罪判处白某红有期徒刑1年6个月、徐某有期徒刑1年2个月；（2025）川0181刑初69号，2025-06-26宣判，双方均未上诉、检察机关未抗诉，判决已生效,
RSP-00028,AHID-CN-2026-0026,court,,filing,,SRC-00044,白某红、徐某均以寻衅滋事罪定罪量刑；该案入选四川法院年度优秀案例及全国法院案例库，系全国首例涉大熊猫网络谣言、网络暴力刑事案件,
RSP-00029,AHID-CN-2026-0026,other,,denial,,SRC-00044,中国大熊猫保护研究中心等相关单位自谣言传播初期起，通过官方微博、微信公众号、中央政法媒体及中国互联网联合辟谣平台等渠道发布辟谣信息,
RSP-00030,AHID-CN-2026-0027,other,,investigation,,SRC-00046,一名参与高速管理工作的交警向记者说明：《道路交通安全法实施条例》仅允许车内后备箱或车顶行李架载货，严禁车外悬挂物品，若笼具脱落引发事故车主需担责；此为一般性规定说明，并非针对本次乐山-重庆事件的专项调查或处理通报,
RSP-00031,AHID-CN-2026-0028,court,,penalty,,SRC-00048,朝阳警方以投放危险物质罪立案侦查，检方提起公诉；北京朝阳法院一审（2025-12-11）判处张某华有期徒刑4年，并判赔11名民事原告数千至数万元不等；北京市第三中级人民法院二审（2026-04-16）维持原判，驳回5名上诉人的精神损失赔偿诉求,
RSP-00032,AHID-CN-2026-0028,court,,filing,,SRC-00048,"案件历经9次延审，法律界人士分析系""投放危险物质罪""属危害公共安全重罪，法院对行为是否达到""足以严重危害不特定多数人人身或重大财产安全""的法定程度持审慎态度",
RSP-00033,AHID-CN-2026-0029,other,,statement,,SRC-00051,2024-05-22校方电话回应称已对涉事学生批评教育及心理疏导，具体处罚将按校规校纪处理,
RSP-00034,AHID-CN-2026-0030,company,,penalty,,SRC-00052,中国工商银行南宁新城支行核查后与该员工解除劳动合同,
RSP-00035,AHID-CN-2026-0031,school,,penalty,,SRC-00053,浙江警察学院通报认定王照蔚行为违背公序良俗，给予政务记大过处分并调离教师岗位,
