source_id,incident_id,source_type,source_tier,platform,source_name,original_url,archived_url,publication_date,first_collected_at,language,primary_source_status,independence_status,independent_cluster_id,cites_source_id,availability_status
SRC-00001,AHID-CN-2026-0001,other,2,维基百科,维基百科,https://zh.wikipedia.org/wiki/%E6%8F%AD%E9%99%BD%E6%8F%AD%E6%9D%B1%E6%9C%AA%E6%88%90%E5%B9%B4%E4%BA%BA%E8%99%90%E7%8B%97%E6%A1%88,,,2026-07-20,zh-Hans,unknown,unknown,CLU-AHID-CN-2026-0001-01,,available
SRC-00002,AHID-CN-2026-0001,news,2,新浪新闻,新浪新闻,https://news.sina.com.cn/s/2026-06-30/doc-inifesxs1524289.shtml,,2026-06-30,2026-07-20,zh-Hans,unknown,unknown,CLU-AHID-CN-2026-0001-02,,available
SRC-00003,AHID-CN-2026-0002,news,2,光明网,光明网,https://m.gmw.cn/2026-05/15/content_1304457296.htm,,2026-05-15,2026-07-20,zh-Hans,unknown,unknown,CLU-AHID-CN-2026-0002-01,,available
SRC-00004,AHID-CN-2026-0002,news,3,网易,网易,https://www.163.com/dy/article/KSU40KLG0550LJ66.html,,,2026-07-20,zh-Hans,unknown,unknown,CLU-AHID-CN-2026-0002-02,,available
SRC-00005,AHID-CN-2026-0003,news,2,南方都市报,南方都市报,https://m.mp.oeeee.com/a/BAAFRD000020240719976606.html,,2024-07-19,2026-07-20,zh-Hans,unknown,unknown,CLU-AHID-CN-2026-0003-01,,available
SRC-00006,AHID-CN-2026-0004,news,1,央视网,央视网,https://news.cctv.com/2025/06/22/ARTI3mFywdSCwZEoWipFdWqd250622.shtml,,2025-06-22,2026-07-20,zh-Hans,unknown,dependent,CLU-AHID-CN-2026-0004-01,,available
SRC-00007,AHID-CN-2026-0004,news,2,新浪财经,新浪财经,https://finance.sina.com.cn/roll/2025-06-25/doc-infcfxpq8273201.shtml,,2025-06-25,2026-07-20,zh-Hans,unknown,dependent,CLU-AHID-CN-2026-0004-01,,available
SRC-00008,AHID-CN-2026-0005,news,1,央视网,央视网,https://news.cctv.com/2024/12/07/ARTITlG6kaHFh2VV0jQaUJPa241207.shtml,,2024-12-07,2026-07-20,zh-Hans,unknown,unknown,CLU-AHID-CN-2026-0005-01,,available
SRC-00009,AHID-CN-2026-0005,news,2,腾讯新闻,腾讯新闻,https://news.qq.com/rain/a/20241207A04CVI00,,2024-12-07,2026-07-20,zh-Hans,unknown,unknown,CLU-AHID-CN-2026-0005-02,,available
SRC-00010,AHID-CN-2026-0006,news,2,华龙网,华龙网,https://h5.cqliving.com/info/detail/2456129.html?cid=2456129&cqxhlwdc=3f,,2020-04,2026-07-20,zh-Hans,unknown,unknown,CLU-AHID-CN-2026-0006-01,,available
SRC-00011,AHID-CN-2026-0006,news,2,青岛新闻网,青岛新闻网,https://news.qingdaonews.com/wap/2020-04/10/content_21555517.htm,,2020-04-10,2026-07-20,zh-Hans,unknown,unknown,CLU-AHID-CN-2026-0006-02,,available
SRC-00012,AHID-CN-2026-0007,news,2,澎湃新闻,澎湃新闻,https://m.thepaper.cn/newsDetail_forward_24488202,,2023-09-02,2026-07-20,zh-Hans,unknown,unknown,CLU-AHID-CN-2026-0007-01,,available
SRC-00013,AHID-CN-2026-0007,news,2,腾讯新闻,腾讯新闻,https://news.qq.com/rain/a/20230902A054B200,,2023-09-02,2026-07-20,zh-Hans,unknown,unknown,CLU-AHID-CN-2026-0007-02,,available
SRC-00014,AHID-CN-2026-0008,news,1,央视网,央视网,https://news.cctv.com/2024/04/07/ARTIZp6CvXMIn8meOOA75WdM240407.shtml,,2024-04-07,2026-07-20,zh-Hans,unknown,unknown,CLU-AHID-CN-2026-0008-01,,available
SRC-00015,AHID-CN-2026-0008,news,2,光明网,光明网,https://m.gmw.cn/2024-04/04/content_1303704302.htm,,2024-04-04,2026-07-20,zh-Hans,unknown,unknown,CLU-AHID-CN-2026-0008-02,,available
SRC-00016,AHID-CN-2026-0009,news,2,中新网,中新网,https://www.chinanews.com.cn/gsztc/2023/05-09/10004022.shtml,,2023-05-09,2026-07-20,zh-Hans,unknown,unknown,CLU-AHID-CN-2026-0009-01,,available
SRC-00017,AHID-CN-2026-0009,news,2,北京日报,北京日报,https://news.bjd.com.cn/2023/05/13/10429508.shtml,,2023-05-13,2026-07-20,zh-Hans,unknown,unknown,CLU-AHID-CN-2026-0009-02,,available
SRC-00018,AHID-CN-2026-0010,news,2,澎湃新闻,澎湃新闻,https://www.thepaper.cn/newsDetail_forward_4862028,,2024-11-04,2026-07-20,zh-Hans,unknown,unknown,CLU-AHID-CN-2026-0010-01,,available
SRC-00019,AHID-CN-2026-0011,news,2,澎湃新闻（马上评）,澎湃新闻（马上评）,https://m.thepaper.cn/newsDetail_forward_1686617,,,2026-07-20,zh-Hans,unknown,unknown,CLU-AHID-CN-2026-0011-01,,available
SRC-00020,AHID-CN-2026-0012,news,2,腾讯新闻,腾讯新闻,https://news.qq.com/rain/a/20260430A04O7D00,,2026-04-30,2026-07-20,zh-Hans,unknown,unknown,CLU-AHID-CN-2026-0012-01,,available
SRC-00021,AHID-CN-2026-0013,news,2,中新网,中新网,https://www.chinanews.com.cn/m/sh/2015/05-04/7250467.shtml,,2015-05-04,2026-07-20,zh-Hans,unknown,unknown,CLU-AHID-CN-2026-0013-01,,available
SRC-00023,AHID-CN-2026-0015,news,2,中新网,中新网,https://www.chinanews.com.cn/sh/2026/05-28/10630456.shtml,,2026-05-28,2026-07-20,zh-Hans,unknown,unknown,CLU-AHID-CN-2026-0015-01,,available
SRC-00024,AHID-CN-2026-0015,news,1,央视网,央视网,https://news.cctv.com/2026/05/28/ARTIKTR2iVTX3Hn7Di2WsoLH260528.shtml,,2026-05-28,2026-07-20,zh-Hans,unknown,unknown,CLU-AHID-CN-2026-0015-02,,available
SRC-00025,AHID-CN-2026-0016,news,2,中华网,中华网,https://news.china.com/socialgd/10000169/20260621/49560206.html,,2026-06-21,2026-07-20,zh-Hans,unknown,unknown,CLU-AHID-CN-2026-0016-01,,available
SRC-00026,AHID-CN-2026-0016,news,3,网易,网易,https://www.163.com/dy/article/KVUSUM0O05568W0A.html,,,2026-07-20,zh-Hans,unknown,unknown,CLU-AHID-CN-2026-0016-02,,available
SRC-00027,AHID-CN-2026-0017,news,2,Vice,Vice,https://www.vice.com/en/article/animal-abuse-china-cat-abuse-suzhou/,,,2026-07-20,en,unknown,unknown,CLU-AHID-CN-2026-0017-01,,available
SRC-00028,AHID-CN-2026-0018,news,2,澎湃新闻（转央视）,澎湃新闻（转央视）,https://m.thepaper.cn/newsDetail_forward_4036022,,,2026-07-20,zh-Hans,unknown,unknown,CLU-AHID-CN-2026-0018-01,,available
SRC-00029,AHID-CN-2026-0019,news,2,澎湃新闻,澎湃新闻,https://m.thepaper.cn/newsDetail_forward_3278123,,2019-04-07,2026-07-20,zh-Hans,unknown,unknown,CLU-AHID-CN-2026-0019-01,,available
SRC-00030,AHID-CN-2026-0019,news,2,都市时报,都市时报,https://www.dutenews.com/n/article/181543,,,,zh-Hans,unknown,,,,unknown
SRC-00031,AHID-CN-2026-0020,other,2,维基百科,维基百科,https://zh.wikipedia.org/wiki/%E9%87%8D%E6%85%B6%E3%80%8C%E5%B1%B1%E5%A7%86%E6%89%93%E5%8C%85%E5%93%A5%E3%80%8D%E8%99%90%E7%95%9C%E4%BA%8B%E4%BB%B6%E5%8F%8A%E7%A4%BA%E5%A8%81,,,2026-07-20,zh-Hans,unknown,unknown,CLU-AHID-CN-2026-0020-01,,available
SRC-00032,AHID-CN-2026-0020,news,2,光明网,光明网,https://m.gmw.cn/2026-06/10/content_1304490199.htm,,2026-06-10,2026-07-20,zh-Hans,unknown,unknown,CLU-AHID-CN-2026-0020-02,,available
SRC-00033,AHID-CN-2026-0020,news,2,新浪财经,新浪财经,https://finance.sina.com.cn/wm/2026-06-10/doc-iniawicy6101485.shtml,,2026-06-10,2026-07-20,zh-Hans,unknown,unknown,CLU-AHID-CN-2026-0020-03,,available
SRC-00034,AHID-CN-2026-0021,news,2,凤凰网,凤凰网,https://i.ifeng.com/c/8ukv2BygIRU,,,2026-07-20,zh-Hans,unknown,unknown,CLU-AHID-CN-2026-0021-01,,unknown
SRC-00035,AHID-CN-2026-0021,news,3,搜狐,搜狐,https://m.sohu.com/a/1050278916_120094090,,,2026-07-20,zh-Hans,unknown,unknown,CLU-AHID-CN-2026-0021-02,,available
SRC-00036,AHID-CN-2026-0022,news,3,网易,网易,https://m.163.com/dy/article/KKRV6PS40550B6IS.html,,2026-02-03,2026-07-20,zh-Hans,unknown,unknown,CLU-AHID-CN-2026-0022-01,,available
SRC-00037,AHID-CN-2026-0022,news,2,澎湃新闻,澎湃新闻,https://m.thepaper.cn/newsDetail_forward_32522926,,,2026-07-20,zh-Hans,unknown,unknown,CLU-AHID-CN-2026-0022-02,,available
SRC-00038,AHID-CN-2026-0023,news,2,腾讯新闻,腾讯新闻,https://news.qq.com/rain/a/20241211A06O1500,,2024-12-11,2026-07-20,zh-Hans,unknown,unknown,CLU-AHID-CN-2026-0023-01,,available
SRC-00039,AHID-CN-2026-0023,news,2,澎湃新闻,澎湃新闻,https://m.thepaper.cn/newsDetail_forward_29615413,,,2026-07-20,zh-Hans,unknown,unknown,CLU-AHID-CN-2026-0023-02,,available
SRC-00040,AHID-CN-2026-0024,news,2,光明网,光明网,https://m.gmw.cn/2025-05/22/content_1304042318.htm,,2025-05-22,2026-07-20,zh-Hans,unknown,dependent,CLU-AHID-CN-2026-0024-01,,available
SRC-00041,AHID-CN-2026-0024,news,3,搜狐,搜狐,https://www.sohu.com/a/897772608_162758,,,2026-07-20,zh-Hans,unknown,dependent,CLU-AHID-CN-2026-0024-01,,available
SRC-00042,AHID-CN-2026-0025,news,2,新浪财经,新浪财经,https://finance.sina.com.cn/wm/2026-01-24/doc-inhikrie2742845.shtml,,2026-01-24,2026-07-20,zh-Hans,unknown,unknown,CLU-AHID-CN-2026-0025-01,,available
SRC-00043,AHID-CN-2026-0025,news,2,腾讯新闻,腾讯新闻,https://view.inews.qq.com/a/20260123A0854A00,,2026-01-23,2026-07-20,zh-Hans,unknown,unknown,CLU-AHID-CN-2026-0025-02,,available
SRC-00044,AHID-CN-2026-0026,news,1,四川法治报,四川法治报,https://www.scfzbs.com/tt/202602/83207478.html,,,2026-07-20,zh-Hans,unknown,unknown,CLU-AHID-CN-2026-0026-01,,available
SRC-00045,AHID-CN-2026-0026,news,2,新浪科技,新浪科技,https://finance.sina.com.cn/tech/digi/2026-07-01/doc-iniffyth6379540.shtml,,2026-07-01,2026-07-20,zh-Hans,unknown,unknown,CLU-AHID-CN-2026-0026-02,,available
SRC-00046,AHID-CN-2026-0027,news,2,羊城晚报,羊城晚报,https://news.ycwb.com/ikimvkitil/content_53982739.htm,,,2026-07-20,zh-Hans,unknown,unknown,CLU-AHID-CN-2026-0027-01,,available
SRC-00047,AHID-CN-2026-0027,news,3,网易,网易,https://m.163.com/dy/article/KMRRK76E05149PH8.html,,,2026-07-20,zh-Hans,unknown,unknown,CLU-AHID-CN-2026-0027-02,,available
SRC-00048,AHID-CN-2026-0028,news,3,搜狐,搜狐,https://www.sohu.com/a/1010613071_161795,,2025-12-11,2026-07-20,zh-Hans,unknown,unknown,CLU-AHID-CN-2026-0028-01,,available
SRC-00049,AHID-CN-2026-0028,news,2,界面新闻,界面新闻,https://www.jiemian.com/article/13748540.html,,2025-12-11,2026-07-20,zh-Hans,unknown,unknown,CLU-AHID-CN-2026-0028-02,,available
SRC-00050,AHID-CN-2026-0028,other,2,百度百科,百度百科,https://baike.baidu.com/item/9%C2%B714%E5%8C%97%E4%BA%AC%E5%AE%A0%E7%89%A9%E4%B8%AD%E6%AF%92%E6%A1%88/65242193,,,,zh-Hans,unknown,,,,unknown
SRC-00051,AHID-CN-2026-0029,news,2,腾讯新闻,腾讯新闻,https://news.qq.com/rain/a/20240522A07W5Q00,,2024-05-22,2026-07-20,zh-Hans,unknown,unknown,CLU-AHID-CN-2026-0029-01,,available
SRC-00052,AHID-CN-2026-0030,news,2,腾讯新闻,腾讯新闻,https://news.qq.com/rain/a/20230903A06QJN00,,2023-09-03,2026-07-20,zh-Hans,unknown,unknown,CLU-AHID-CN-2026-0030-01,,available
SRC-00053,AHID-CN-2026-0031,news,2,澎湃新闻,澎湃新闻,https://www.thepaper.cn/newsDetail_forward_10709036,,2021-01-08,2026-07-20,zh-Hans,unknown,unknown,CLU-AHID-CN-2026-0031-01,,available
SRC-00054,AHID-CN-2026-0031,news,3,网易,网易,https://www.163.com/news/article/FVRKUM020001899O.html,,,2026-07-20,zh-Hans,unknown,unknown,CLU-AHID-CN-2026-0031-02,,available
